Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Pos,Year
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,,
Aaron RodgersA. Rodgers,8,475.0,502,343,4643,45,6,0,60,257,3,0,0,0,0,0,0,0,QB,2011
Drew BreesD. Brees,11,473.0,657,468,5476,46,14,2,21,86,1,0,0,0,0,0,1,0,QB,2011
Tom BradyT. Brady,7,432.0,611,401,5235,39,12,0,43,109,3,0,0,0,0,0,2,0,QB,2011
Matthew StaffordM. Stafford,9,416.0,663,421,5038,41,16,2,22,78,0,0,0,0,0,0,1,0,QB,2011
Cam NewtonC. Newton,9,397.0,517,310,4051,21,17,2,126,706,14,0,1,27,0,0,2,0,QB,2011
Eli ManningE. Manning,7,335.0,589,359,4933,29,16,0,35,15,1,0,0,0,0,0,4,0,QB,2011
Tony RomoT. Romo,5,330.0,522,346,4184,31,10,0,22,46,1,0,0,0,0,0,3,0,QB,2011
Matt RyanM. Ryan,8,321.0,566,347,4177,29,12,0,37,84,2,0,0,0,0,0,3,0,QB,2011
Philip RiversP. Rivers,6,305.0,582,366,4624,27,20,1,26,36,1,0,0,0,0,0,5,0,QB,2011
Mark SanchezM. Sanchez,8,287.0,543,308,3474,26,18,0,37,103,6,0,0,0,0,0,8,0,QB,2011
Michael VickM. Vick,7,262.0,423,253,3303,18,14,0,76,589,1,0,0,0,0,0,4,0,QB,2011
Ryan FitzpatrickR. Fitzpatrick,7,257.0,569,353,3832,24,23,0,56,215,0,1,0,0,0,0,2,0,QB,2011
Ben RoethlisbergerB. Roethlisberger,11,253.0,513,324,4077,21,14,0,31,70,0,0,0,0,0,0,5,0,QB,2011
Joe FlaccoJ. Flacco,5,242.0,542,312,3610,20,12,0,39,88,1,0,1,-8,0,0,6,0,QB,2011
Andy DaltonA. Dalton,7,237.0,516,300,3398,20,13,0,37,152,1,0,0,0,0,0,2,0,QB,2011
Alex SmithA. Smith,7,237.0,445,273,3144,17,5,1,52,179,2,0,0,0,0,0,2,0,QB,2011
Josh FreemanJ. Freeman,8,227.0,551,346,3592,16,22,2,55,238,4,0,0,-4,0,0,5,0,QB,2011
Tim TebowT. Tebow,6,216.0,271,126,1729,12,6,0,122,660,6,2,0,0,0,0,6,0,QB,2011
Matt HasselbeckM. Hasselbeck,6,215.0,518,319,3571,18,14,0,20,52,0,0,0,0,0,0,1,0,QB,2011
Matt MooreM. Moore,5,183.0,347,210,2497,16,9,0,32,65,2,0,0,0,0,0,6,0,QB,2011
Matt SchaubM. Schaub,11,182.0,292,178,2479,15,6,0,15,9,2,0,0,0,0,0,1,0,QB,2011
Colt McCoyC. McCoy,5,180.0,463,265,2733,14,11,0,61,212,0,0,1,-5,0,0,2,0,QB,2011
Tarvaris JacksonT. Jackson,6,179.0,450,271,3091,14,13,0,40,108,1,0,0,0,0,0,5,0,QB,2011
Rex GrossmanR. Grossman,5,178.0,458,265,3151,16,20,0,20,11,1,0,0,0,0,0,5,0,QB,2011
Jay CutlerJ. Cutler,8,159.0,314,182,2319,13,7,0,18,55,1,0,0,0,0,0,3,0,QB,2011
Carson PalmerC. Palmer,8,156.0,328,199,2753,13,16,0,16,20,1,0,0,0,0,0,1,0,QB,2011
Christian PonderC. Ponder,9,136.0,291,158,1853,13,13,0,28,219,0,0,0,0,0,0,2,0,QB,2011
Blaine GabbertB. Gabbert,9,130.0,413,210,2214,12,11,0,48,98,0,0,0,0,0,0,5,0,QB,2011
John SkeltonJ. Skelton,6,116.0,275,151,1913,11,14,0,28,128,0,0,0,0,0,0,1,0,QB,2011
Kevin KolbK. Kolb,6,115.0,253,146,1955,9,8,0,17,65,0,0,0,0,0,0,3,0,QB,2011
Matt CasselM. Cassel,6,114.0,269,160,1713,10,9,0,25,99,0,0,1,-4,0,0,2,0,QB,2011
Sam BradfordS. Bradford,5,103.0,357,191,2164,6,6,0,18,26,0,0,0,0,0,0,7,0,QB,2011
Kyle OrtonK. Orton,6,101.0,252,150,1758,9,9,0,11,13,0,0,0,0,0,0,2,0,QB,2011
Jason CampbellJ. Campbell,8,87.0,165,100,1170,6,4,0,18,60,2,0,0,0,0,0,1,0,QB,2011
Curtis PainterC. Painter,11,82.0,243,132,1541,6,9,0,17,107,0,0,0,0,0,0,3,0,QB,2011
