Player,Bye,Pts,passAtt,passCmp,passYds,passTD,passInt,pass2pt,rushAtt,rushYds,rushTD,ru2pt,rec,recYds,recTD,rec2pt,FL,FLTD
Josh Allen,7,460.0,646,409,4407,36,15,1,122,763,6,1,0,0,0,1,3,0
Tom Brady,9,454.0,719,485,5316,43,12,0,28,81,2,0,0,0,0,0,3,0
Justin Herbert,7,442.0,672,443,5014,38,15,5,63,302,3,0,0,0,0,1,1,0
Cooper Kupp,11,430.0,1,0,0,0,0,0,4,18,0,0,145,1947,16,1,0,0
Patrick Mahomes,12,428.0,658,436,4839,37,13,1,66,381,2,1,0,0,0,0,4,0
Matthew Stafford,9,405.0,601,404,4886,41,17,2,32,43,0,0,0,0,0,0,2,0
Aaron Rodgers,13,394.0,531,366,4115,37,4,0,33,101,3,0,1,-4,0,0,0,0
Dak Prescott,7,390.0,596,410,4449,37,10,2,48,146,1,1,0,0,0,0,6,0
Joe Burrow,10,372.0,520,366,4611,34,14,1,40,118,2,0,0,0,0,0,2,0
Jonathan Taylor,14,362.0,0,0,0,0,0,0,332,1811,18,0,40,360,2,0,2,0
Kirk Cousins,7,357.0,561,372,4221,33,7,0,29,115,1,0,0,0,0,0,2,0
Davante Adams,13,337.0,0,0,0,0,0,0,0,0,0,0,123,1553,11,0,0,0
Kyler Murray,12,335.0,481,333,3787,24,10,0,88,423,5,0,0,7,0,0,0,0
Jalen Hurts,14,332.0,432,265,3144,16,9,3,139,784,10,0,0,0,0,0,2,0
Austin Ekeler,7,331.0,0,0,0,0,0,0,206,911,12,1,70,647,8,1,3,0
Deebo Samuel,6,329.0,2,1,24,1,0,0,59,365,8,0,77,1405,6,0,2,0
Justin Jefferson,7,321.0,4,2,35,0,0,0,6,14,0,0,108,1616,10,0,1,0
Carson Wentz,14,304.0,516,322,3563,27,7,2,57,215,1,0,0,0,0,0,5,0
Ja'Marr Chase,10,295.0,0,0,0,0,0,0,7,21,0,0,81,1455,13,0,1,0
Ryan Tannehill,13,295.0,531,357,3734,21,14,1,55,270,7,0,0,0,0,0,4,0
Derek Carr,8,294.0,626,428,4804,23,14,0,40,108,0,0,0,0,0,0,5,0
Mark Andrews,8,292.0,0,0,0,0,0,0,1,0,0,0,107,1361,9,2,0,0
Tyreek Hill,12,286.0,0,0,0,0,0,0,9,96,0,0,111,1239,9,0,1,0
Najee Harris,7,285.0,0,0,0,0,0,0,307,1200,7,0,74,467,3,0,0,0
Russell Wilson,9,281.0,400,259,3113,25,6,1,43,183,2,0,0,0,0,0,1,0
Stefon Diggs,7,279.0,0,0,0,0,0,0,0,0,0,0,103,1225,10,0,0,0
Joe Mixon,10,277.0,0,0,0,0,0,0,292,1205,13,0,42,314,3,0,1,0
Diontae Johnson,7,269.0,0,0,0,0,0,0,5,53,0,0,107,1161,8,1,2,0
Lamar Jackson,8,262.0,382,246,2882,16,13,2,133,767,2,0,0,0,0,0,3,0
Mac Jones,14,261.0,521,352,3801,22,13,2,44,129,0,0,0,0,0,0,3,0
Jimmy Garoppolo,6,260.0,441,301,3810,20,12,1,38,51,3,0,0,0,0,0,3,0
Ben Roethlisberger,7,258.0,605,390,3740,22,10,2,20,5,1,0,0,0,0,0,5,0
Mike Evans,9,254.0,0,0,0,0,0,0,1,10,0,0,74,1035,14,0,0,0
Travis Kelce,12,254.0,0,0,0,0,0,0,2,3,1,0,92,1125,9,0,1,0
Hunter Renfrow,8,252.0,0,0,0,0,0,0,3,3,0,0,103,1038,9,0,1,0
Matt Ryan,6,252.0,560,375,3968,20,12,0,40,82,1,1,0,0,0,0,4,0
Keenan Allen,7,251.0,1,0,0,0,0,1,0,0,0,0,106,1138,6,0,0,0
Taylor Heinicke,9,249.0,494,321,3419,20,15,0,60,313,1,1,1,-2,0,0,2,0
James Conner,12,247.0,0,0,0,0,0,0,202,752,15,0,37,375,3,0,0,0
Leonard Fournette,9,242.0,1,0,0,0,0,0,180,812,8,0,69,454,2,0,0,0
Ezekiel Elliott,7,241.0,1,1,4,0,0,0,237,1002,10,3,47,287,2,0,1,0
Jaylen Waddle,14,240.0,0,0,0,0,0,0,2,3,1,0,104,1015,6,0,1,0
Mike Williams,7,239.0,0,0,0,0,0,0,0,0,0,0,76,1146,9,1,0,0
Chris Godwin,9,237.0,0,0,0,0,0,0,4,21,1,0,98,1103,5,0,2,0
,9,237.0,0,0,0,0,0,0,1,6,0,0,75,967,12,0,0,0
Tyler Lockett,9,234.0,0,0,0,0,0,0,2,9,0,0,73,1175,8,1,0,0
Teddy Bridgewater,11,230.0,426,285,3052,18,7,1,30,106,2,0,0,0,0,0,1,0
,13,229.0,0,0,0,0,0,0,8,48,0,0,93,1157,4,1,1,0
Michael Pittman,14,228.0,0,0,0,0,0,0,5,44,0,0,88,1082,6,1,0,0
Jared Goff,11,227.0,494,332,3245,19,8,4,17,87,0,0,0,0,0,0,6,0
CeeDee Lamb,7,225.0,0,0,0,0,0,0,9,76,0,0,79,1102,6,0,0,0
Alvin Kamara,6,224.0,0,0,0,0,0,0,240,898,4,0,47,439,5,0,0,0
Brandin Cooks,10,223.0,0,0,0,0,0,0,2,21,0,0,90,1037,6,0,0,0
Cordarrelle Patterson,6,222.0,1,0,0,0,0,0,153,618,6,0,52,548,5,0,0,0
Marquise Brown,8,220.0,0,0,0,0,0,0,1,5,0,0,91,1008,6,0,1,0
Antonio Gibson,9,220.0,0,0,0,0,0,0,258,1037,7,1,42,294,3,0,4,0
Amon-Ra S,9,219.0,0,0,0,0,0,0,7,61,1,0,90,912,5,2,0,0
Aaron Jones,13,218.0,0,0,0,0,0,0,171,799,4,0,52,391,6,0,1,0
Tee Higgins,10,214.0,0,0,0,0,0,0,0,0,0,0,74,1091,6,1,1,0
Josh Jacobs,8,213.0,0,0,0,0,0,0,217,872,9,0,54,348,0,0,2,0
Trevor Lawrence,7,212.0,602,359,3641,12,17,2,73,334,2,0,0,0,0,0,5,0
Darnell Mooney,10,209.0,0,0,0,0,0,0,6,32,1,0,81,1055,4,0,0,0
Terry McLaurin,9,208.0,0,0,0,0,0,0,1,12,0,0,77,1053,5,0,0,0
Baker Mayfield,13,205.0,418,253,3010,17,13,2,37,134,1,0,0,11,0,0,3,0
Nick Chubb,13,204.0,0,0,0,0,0,0,228,1259,8,0,20,174,1,0,1,0
Damien Harris,14,204.0,0,0,0,0,0,0,202,929,15,0,18,132,0,0,2,0
Tua Tagovailoa,14,204.0,388,263,2653,16,10,1,42,128,3,0,0,0,0,0,1,0
Dalton Schultz,7,201.0,0,0,0,0,0,0,0,0,0,0,78,808,8,1,0,0
Christian Kirk,12,199.0,1,1,33,0,0,0,1,11,0,0,77,982,5,0,0,0
D'Andre Swift,9,199.0,1,0,0,0,0,0,151,617,5,0,62,452,2,0,1,0
Dalvin Cook,7,198.0,0,0,0,0,0,0,249,1159,6,1,34,224,0,0,2,0
Amari Cooper,7,195.0,0,0,0,0,0,0,0,0,0,0,68,865,8,0,0,0
Adam Thielen,7,195.0,0,0,0,0,0,0,1,2,0,0,67,726,10,0,0,0
Javonte Williams,11,194.0,0,0,0,0,0,0,203,903,4,0,43,316,3,0,1,0
George Kittle,6,193.0,0,0,0,0,0,0,3,20,0,0,71,910,6,0,1,0
Derrick Henry,13,189.0,1,1,5,1,0,0,219,937,10,1,18,154,0,0,0,0
Melvin Gordon,11,187.0,0,0,0,0,0,0,203,918,8,0,28,213,2,0,3,0
David Montgomery,10,185.0,1,0,0,0,1,0,225,849,7,0,42,301,0,0,1,0
Darrel Williams,12,185.0,0,0,0,0,0,0,144,558,6,0,47,452,2,0,0,0
Davis Mills,10,182.0,394,263,2664,16,10,1,18,44,0,1,0,0,0,0,1,0
Devin Singletary,7,182.0,0,0,0,0,0,0,188,870,7,0,40,228,1,0,0,0
DeVonta Smith,14,181.0,0,0,0,0,0,0,0,0,0,0,64,916,5,1,1,0
Daniel Jones,10,178.0,361,232,2428,10,7,1,62,298,2,2,1,16,0,0,3,0
Jakobi Meyers,14,177.0,2,2,45,0,0,0,1,9,0,0,83,866,2,2,1,0
,13,174.0,2,0,0,0,0,0,2,10,0,0,63,869,5,0,0,0
Marvin Jones,7,174.0,0,0,0,0,0,0,0,0,0,0,73,832,4,0,0,0
Tyler Boyd,10,173.0,1,1,46,0,0,0,2,22,0,0,67,828,5,0,0,0
Zach Ertz,12,173.0,0,0,0,0,0,0,1,4,0,0,74,763,5,0,0,0
AJ Dillon,13,172.0,0,0,0,0,0,0,187,803,5,0,34,313,2,0,1,0
Kendrick Bourne,14,171.0,1,1,25,1,0,0,12,125,0,0,55,800,5,0,1,0
Sam Darnold,6,170.0,406,243,2527,9,13,1,48,222,5,0,0,0,0,0,4,0
Kyle Pitts,6,169.0,0,0,0,0,0,0,0,0,0,0,68,1026,1,0,0,0
Rob Gronkowski,9,166.0,0,0,0,0,0,0,0,0,0,0,55,802,6,0,0,0
Zach Wilson,6,163.0,383,213,2334,9,11,1,29,185,4,1,0,0,0,0,1,0
Brandon Aiyuk,6,162.0,0,0,0,0,0,0,5,17,0,0,56,826,5,1,1,0
Van Jefferson,11,162.0,0,0,0,0,0,0,2,20,0,0,50,802,6,0,0,0
James Robinson,7,162.0,0,0,0,0,0,0,164,767,8,0,31,222,0,0,2,0
Russell Gage,6,160.0,0,0,0,0,0,0,0,0,0,0,66,770,4,0,2,0
Myles Gaskin,14,160.0,0,0,0,0,0,0,173,612,3,0,49,234,4,0,1,0
Chase Claypool,7,159.0,0,0,0,0,0,0,14,96,0,0,59,860,2,0,0,0
Mike Gesicki,14,159.0,1,0,0,0,0,0,0,0,0,0,73,780,2,1,0,0
Dallas Goedert,14,159.0,0,0,0,0,0,0,0,0,0,0,56,830,4,1,0,0
Dawson Knox,7,157.0,0,0,0,0,0,1,0,4,0,0,49,587,9,0,0,0
Elijah Mitchell,6,157.0,0,0,0,0,0,0,207,963,5,0,19,137,1,0,0,0
Hunter Henry,14,156.0,0,0,0,0,0,0,0,0,0,0,50,603,9,0,0,0
Cole Beasley,7,153.0,1,0,0,0,0,0,0,0,0,0,82,693,1,1,0,0
Noah Fant,11,152.0,0,0,0,0,0,0,0,0,0,0,68,670,4,0,0,0
Darrell Henderson,11,152.0,0,0,0,0,0,0,149,688,5,0,29,176,3,0,0,0
,7,152.0,0,0,0,0,0,0,1,10,0,0,50,655,7,0,0,0
,12,150.0,0,0,0,0,0,0,0,0,0,0,54,848,3,0,0,0
Pat Freiermuth,7,147.0,0,0,0,0,0,0,0,0,0,0,60,497,7,1,1,0
Tim Patrick,11,147.0,0,0,0,0,0,0,0,0,0,0,53,734,5,0,0,0
Marquez Callaway,6,145.0,0,0,0,0,0,0,0,0,0,0,46,698,6,0,0,0
Tony Pollard,7,145.0,0,0,0,0,0,0,130,719,2,0,39,337,0,0,0,0
DeAndre Hopkins,12,143.0,0,0,0,0,0,0,0,0,0,0,42,572,8,0,0,0
Saquon Barkley,10,142.0,0,0,0,0,0,0,162,593,2,0,41,263,2,0,1,0
Courtland Sutton,11,141.0,1,1,16,0,0,0,0,0,0,0,58,776,2,1,0,0
Jameis Winston,6,141.0,161,95,1170,14,3,0,32,166,1,0,0,0,0,0,1,0
Michael Carter,6,140.0,0,0,0,0,0,0,147,639,4,0,36,325,0,0,1,0
Tyler Higbee,11,140.0,0,0,0,0,0,0,0,0,0,0,61,560,5,0,0,0
,9,140.0,0,0,0,0,0,0,0,0,0,0,61,583,4,1,0,0
Cedrick Wilson,7,139.0,3,3,88,0,0,0,2,11,0,0,45,602,6,1,0,0
Sony Michel,11,137.0,0,0,0,0,0,0,208,845,4,0,21,128,1,0,1,0
Allen Lazard,13,136.0,0,0,0,0,0,0,3,32,0,0,40,513,8,0,0,0
Justin Fields,10,135.0,270,159,1870,7,10,0,72,420,2,0,0,0,0,0,5,0
Devonta Freeman,8,134.0,0,0,0,0,0,0,133,576,5,0,34,190,1,0,0,0
Mecole Hardman,12,134.0,0,0,0,0,0,0,8,46,0,0,59,693,2,0,2,0
Chase Edmonds,12,133.0,0,0,0,0,0,0,116,592,2,0,43,311,0,0,1,0
Robby Anderson,13,131.0,0,0,0,0,0,0,3,36,0,0,53,519,5,0,0,0
Tyler Conklin,7,131.0,0,0,0,0,0,0,0,0,0,0,61,593,3,0,0,0
Elijah Moore,6,131.0,0,0,0,0,0,0,5,54,1,0,43,538,5,0,0,0
Robert Woods,11,131.0,0,0,0,0,0,0,8,46,1,0,45,556,4,1,0,0
Mike Davis,6,130.0,0,0,0,0,0,0,138,503,3,0,44,259,1,0,3,0
Darren Waller,8,129.0,0,0,0,0,0,0,0,0,0,0,55,665,2,0,0,0
Devontae Booker,10,128.0,0,0,0,0,0,0,145,593,2,0,40,268,1,0,0,0
Jarvis Landry,13,128.0,0,0,0,0,0,0,6,40,2,0,52,570,2,0,2,0
Chuba Hubbard,13,127.0,0,0,0,0,0,0,172,612,5,0,25,174,1,0,1,0
Kalif Raymond,9,125.0,0,0,0,0,0,0,4,28,0,0,48,576,4,0,0,0
Emmanuel Sanders,7,125.0,0,0,0,0,0,0,2,31,0,0,42,626,4,0,0,0
Jared Cook,7,124.0,0,0,0,0,0,0,0,0,0,0,48,564,4,2,0,0
Taysom Hill,6,121.0,134,78,978,4,5,0,70,374,5,0,4,52,0,0,0,0
Christian McCaffrey,13,121.0,0,0,0,0,0,0,99,442,1,0,37,343,1,0,0,0
Byron Pringle,12,121.0,0,0,0,0,0,0,0,0,0,0,42,568,5,0,1,0
,10,121.0,0,0,0,0,0,0,0,0,0,0,49,493,5,0,0,0
Odell Beckham J,11,120.0,0,0,0,0,0,0,2,14,0,0,44,537,5,0,0,0
Gabriel Davis,7,120.0,0,0,0,0,0,0,0,0,0,0,35,549,6,0,0,0
,9,120.0,0,0,0,0,0,0,48,212,2,0,43,397,2,0,0,0
Laviska Shenault,7,120.0,0,0,0,0,0,0,11,41,0,0,63,619,0,0,1,0
Antonio Brown,9,118.0,0,0,0,0,0,0,1,6,0,0,42,545,4,0,0,0
Alexander Mattison,7,118.0,0,0,0,0,0,0,134,491,3,0,32,228,1,0,1,0
Brandon Bolden,14,114.0,0,0,0,0,0,0,44,226,1,1,41,405,2,0,0,0
Gerald Everett,9,114.0,0,0,0,0,0,0,3,20,0,0,48,478,4,0,2,0
Cole Kmet,10,114.0,0,0,0,0,0,0,1,0,0,0,60,612,0,0,0,0
Rashaad Penny,9,114.0,0,0,0,0,0,0,119,749,6,0,6,48,0,0,0,0
Kenny Gainwell,14,113.0,0,0,0,0,0,0,68,291,5,1,33,253,1,0,1,0
Clyde Edwards-Helaire,12,111.0,0,0,0,0,0,0,119,517,4,0,19,129,2,1,2,0
Miles Sanders,14,110.0,0,0,0,0,0,0,137,754,0,1,26,158,0,0,1,0
Jamaal Williams,9,110.0,0,0,0,0,0,0,153,601,3,0,26,157,0,0,0,0
Braxton Berrios,6,109.0,0,0,0,0,0,0,7,40,2,0,46,431,2,0,1,0
Ty Johnson,6,109.0,0,0,0,0,0,0,61,238,2,0,34,372,2,0,1,0
Trevor Siemian,6,108.0,188,108,1154,11,3,0,9,20,1,0,0,0,0,0,1,0
Quez Watkins,14,108.0,0,0,0,0,0,0,1,3,0,0,43,647,1,1,0,0
Deonte Harty,6,107.0,0,0,0,0,0,0,5,41,0,0,36,570,3,0,1,0
